text,label
pagi2 udah di buat emosi :),marah
"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",marah
dah lah emosi mulu liat emyu,marah
"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",marah
dih lu yg nyebelin bego,marah
"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",marah
drama abg tolol,marah
masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,marah
"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",marah
pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,marah
ya allah mau marah tpi gimana ya,marah
silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,marah
"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",marah
"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",marah
"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",marah
"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",marah
1-10!! marah aku,marah
tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,marah
"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",marah
gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,marah
hah? kaya dendam bnaget sama ibu,marah
huahh benci covid bangett. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. no god pliss,marah
"benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua.",marah
"ni geng lgbt patutle. libtard, gay, bodoh, tahi",marah
iya ni tvn kan suka memancing emosi penonton,marah
sei ini ya gue baru bangun tidur udh bikin emosi aja,marah
mau marah bangeett kenapa orang orang jahat bgt si,marah
kadang suka emosi baca beginian tapi orang goblog emang susah kalo diajak ngobrol,marah
si mutajir mancing emosi sih pagi2,marah
udah gw baca panjang-panjang kirain analisisnya bakal boom. ternyta hanya hasil pikiran otak pendek. tolol,marah
emosi bung,marah
mvp pun kene marah tak capai kpi ke ?,marah
opini lu jelek bro. menutup keburukan dg agama lu benarkan. poligami untuk menghindari zina? tolol! palkon banyak bacot ttg agama ya gini,marah
kapan ya manajemen di rs diubah biar ga lempar lemparan gini anjimm orang ke rs tuh butuh penanganan cepet bukan bolak balik ribet. emosi kan gue ajgg,marah
dari turunkan ayam 2 kupang baik buat polisi majukan industri sumber makanan negara. kita negara tropika kot apa jadah harap makanan ternakan import? bodoh sangat ke orang malaysia sampai dedak ayam pun tak boleh buat sendiri?,marah
unesco org arab hahaa kata yg benci anis,marah
"satu kata jangan mengundi , sebab semua bodoh",marah
"diam, adalah jawaban terbaik untuk menghadapi orang bodoh!",marah
"sangat tolol bbm langka,beras mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar 2006 sampai 2011",marah
bangsat ini akun sy di hack kah?,marah
"lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal, ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih.",marah
ni betul2 punya marah..,marah
"ternyata ada yg lebih bego dari aku, jauh malah",marah
harus nya dihukum mati itu bangsat. rusak nama sumut karena dia,marah
hmm siapa lagi yg harus aku benci,marah
tyhan gue ga kuat banget bangsat,marah
sumpah gw emosi banget yoo,marah
yg dinamakan org prik bin tolol,marah
ini faisal basri ngga lagi kena stroke kan? atau tiba2 mental retarded? ciri khas jokowi? ketukar sama sby pak faisal. jgn bangsat drun.,marah
dipta kamu jangan bego bisa ga?,marah
iya anjrott jangan jangan dia punya dendam sama gue ya,marah
"apa bedanya coba awal chat huruf kapital apa engga ? sahabat, kamu kok tolol",marah
"bangsat, mang lu udah?",marah
"saya bisa masak, saya ini sudah ada bekal untuk main benda tajam dan minyak panas, jadi tolong hargai saya dan jangan bikin saya marah",marah
bego ya begi diba astaga,marah
gue baik tapi gue ga tolol. semoga orang tua gue sehat terus lancar rejeki. biar ga usah gue ngandelin sodara kaya anjing.,marah
bangsat,marah
"eh, kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah?",marah
hah bodoh kali kau pantek,marah
emosi mlu nnti jd burag loh,marah
yaa kann ga ngerasa cape cuman larinya jadi lemot bangett. emosi gue,marah
shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo,marah
tak sempat la ni nak balas dendam minggu depan. mesti sakit dh hilang time tu,marah
"islamofobis/buzzerp, yaitu: 1. para *njing sepilis dan komunis, pelaku maksiat yg ingin mencari pembenaran atas kelakuannya. 2. para b*bi kafir, pecundang debat teologis scr akademis yg ingin melampiaskan dendam kekalahannya.",marah
iya juwi emosi nih gw pagi2,marah
aku benci kata jenuh,marah
gw benci sekolah,marah
bacoot kadrun emang bangsat,marah
bangsat masih berani main sosmed,marah
ajarkan kepada anak lelaki; tolong opininya jangan kelewat tolol.,marah
km nyinyirn q sma antek2 nya berharap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha,marah
gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.,marah
hahah bangsat,marah
"ha tuh lu doang, tau definisi adek ga sih lu ilah bikin emosi.",marah
"nnton sis, masih on going. emosi mulu yah, sekarang nntonnya udahlah ikutin aja",marah
"kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl, namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya.",marah
"dpt mimpi kok mendukung keparnoan, bangun2 bangsat bgt bete au ah, mending ga usah tdr apa ya",marah
haah .. belajar chargeman a1 sekali kerja amik former kat kilang jadi worker .. dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak .. semua kerja siap tapi bodoh nak memekak jugak .. baruah,marah
"woii bodok.. klo semua komplain, beropini,berargumen,berpendapat dkk mngenai kbijakan pemerintah. buat apa pileg dlakukn?? goblok di pelihara. lu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta.. tolol. pendapatan aggota dewan itu 10x gaji umr tiap bulan",marah
terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang,marah
jangan sampai rakyatÂ benci,marah
"gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™, ga usah nyuruh2 org buat ngaku deh, lo doang yg mikir bgtu bego! ga jelas lo",marah
marah btol bang,marah
"auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia, itu yg menyebabkan ltte bunuh indira gandhi. ko pergi baca sejarah kenapa ltte tu diwujudkan. tak sama langsung mcm taliban.",marah
cok pagi pagi dibuat emosi,marah
bersabar dengan emosi yang ada di dalam diri ini.,marah
"benci tasik, benci jakarta",marah
sepertinya opung msh dendam bu,marah
aduh bangsat ganteng banget lagi ni orang,marah
paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa :),marah
kalau cerita kat laki aku pasal mimpi malam td mesti kena marah,marah
bangsat ntarnta pasti nangis haha pengecut nada tolol mati aja lo,marah
bodoh punya statement ..baik gi minum arak ..melacur ..main judi ..baru betul thrill,marah
((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang,marah
gajadi soft malah emosi.,marah
elu jangan bikin gue marah,marah
jarina hasebe hobi ngomel dan marah marah.,marah
capee lagi puasa ada aja yg dibikin marah nya tu,marah
anjinglah brengsek bangsat,marah
emosi yaa........,marah
tahulah nak luah kat siapa. terasa bodoh gila,marah
"benci juga karakternya cheol. kek itu uda keliatan han sakit hati, knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu, tp the way he treated han that i hate the most. dipermainin bgt haha, jerk.",marah
"poin 1-2 okelah, poin selanjutnya itu lho, gw cowok aja marah bacanya",marah
nape lo yg emosi?,marah
ya kalo mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan lu nikah ma nene2 yang udh tua dan miskin buat diurus bukan mau enak nya doang tolol,marah
"betul org cakap, kalau tak bodoh bukan bn namanya..",marah
kalau bad day sangat pun takde hak nak emosi kat orang lain. tak professional!,marah
pagi pagi bangun dah fucked up. bodoh,marah
percaya tapi benci gua kalo suka diem doang kaga ngomong lgsg kek gua kaga gigit elah dan lu cowo yg gentle dong masa kalah sama gentle jen,marah
akhirnya bangun siang. tp si bodoh ini kaga solat subuh,marah
"aku pura-pura tidak tau saja kebohonganmu yang terhakiki, entahlah aku pura-pura bodoh saja nanti juga akan ketahuan sendiri biar waktu yang menunjukkannya",marah
tetep aja namanya selingkuh kok ya tolol banget. kakean alesan,marah
"nah ini yg gw ksl gw si b aja lah liat si bright sm tu soalnya kek phinong bet tpi yg gw benci klo kek gt suka ngelunjak anjr fans nya mn ngejelek""in iwin lgi trs pasti udh kek berasa real bet pdhl cmn fanservice",marah
aku dendam sama ntu dua orang itu.,marah
sange sama perempuan lain? puasa. tahan diri. jaga pandangan. bukan poligami bangsat. lo miskin tapi gegayaan poligami tuh gimana ceritanya?? nanti istri jelek ga keurus karena lo ga kasi duit langsung ditinggalin. heran gue kenapa laki-laki punya otak ga dipake dah,marah
"dulu waktu smp saya jengkel banget sama ibu saya, mau pergi naik bus dari jombang ke bojonegoro (jawa timur) pake dianterin ke terminal bus. padahal pinginnya naik angkot saja.",marah
eh bukan jadi mangsa maki atau kena marah but concerned pasal tak bercakap. tetiba.,marah
"tolong jangan benci fany, fany baik-baik kok gak makan orang kok",marah
gabole marah  nanti cepett tua,marah
si gwinam?? kayaknya dia punya keinginan hidup yg tinggi kan ada dendam sama chongsan,marah
permulaan yang bangsat untuk febuari 2022,marah
baca komenannya sungguh menguras emosi asu,marah
lagian sih kemarin siapa sih yg milih ini gubernurr ???? wong dudul koyok ngene .,marah
"kata mama harus baik samaa orang lain tpi kalo orang itu ngelunjak yaudah diemin aja tapi gue orangnya ga tega an.. jdi ya gtu, jatohnya malah tolol ngebantuin orng yg ga bisa usaha sendiri",marah
"bahkan ada dari tweet yang maksudnya supportive. parahnya tuh nggak dibarengi dengan nanya baik-baik atau diskusi, tapi langsung ngegas. bener-bener jadi ruang marah-marah aja",marah
"iya ituu benci bgt, makin hari ada aja peraturan ga jelas kek gini huhu",marah
jgn la marah dia. lesen l pun dia takde lagi tu.,marah
"mak yng darah tinggi andin makk, knp mamak yng marah marah, lanjutkan makk",marah
"tolol, namanya adek ga harus anak kecil. adek ya, yang posisi lahirnya setelah kakak, mau jecil atau gede ga ada urusan.. dongo",marah
bangsat bener krn pelakunya adalah guru yg seharusnya mengayomi,marah
"diorang ni semua dah lama nak borak dengan kau. tak fun kata diorang, kalau tak dengar kau buat lawak bodoh satu hari.  tu dulu la jepp. haha.  kitorang dengar kau tengah on satu projek. big project. semua bercakap pasal kau jo.  takde la. benda takde pape lagi. ",marah
tiati bego beneran,marah
"yhh marah  mulu lo, cepet tua mampus",marah
bloon. mana ada yg mau kalah. mang bego anjing kntl,marah
