text,label
kok stabilitas negara,memange 10 thn negara tdk aman
aib? bodoh benar! sebelum kata aib itu muncul,terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya	Anger
"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib","ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua"
bangsat tribute no.1,bencana no.2 mau ngalahin ini keknya	Anger
pagi-pagi dikerjain orang haha dikira gua bego,ya gua ladenin lahh liat sampe manaa	Anger
angka covid lagi naek. kalo masih dilanjut event offlinenya,asli bodoh sih ni brand.	Anger
bukan lebih ke sangar sih,kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh	Anger
mas ngelonte dulu mas,biar otaknya jadi seger lg
izinin suami poligami buat menghindari zina? lol banget,heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina
benci banget sama diri sendiri,gampang nangis kalo ngobrol sama orang tua.	Anger
ni geng lgbt patutle. libtard,gay
satu kata jangan mengundi,sebab semua bodoh	Anger
diam,adalah jawaban terbaik untuk menghadapi orang bodoh!	Anger
sangat tolol bbm langka,beras mahal cuma sarapan jagung dan ubi sebelum berangkat sekolah itu sekitar 2006 sampai 2011	Anger
"lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal","ada anak perempuan satu lagi punya ayah ibu saya"" gitu? tolol ih.	Anger"
ternyata ada yg lebih bego dari aku,jauh malah	Anger
apa bedanya coba awal chat huruf kapital apa engga ? sahabat,kamu kok tolol	Anger
bangsat,mang lu udah?	Anger
saya bisa masak,saya ini sudah ada bekal untuk main benda tajam dan minyak panas
eh,kau tidak pernah merancang kejatuhan orang kau benci dengan perempuan lain kah?	Anger
islamofobis/buzzerp,yaitu: 1. para *njing sepilis dan komunis
ha tuh lu doang,tau definisi adek ga sih lu ilah bikin emosi.	Anger
nnton sis,masih on going. emosi mulu yah
kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl,namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya.	Anger
dpt mimpi kok mendukung keparnoan,bangun2 bangsat bgt bete au ah
woii bodok.. klo semua komplain,beropini
gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™,ga usah nyuruh2 org buat ngaku deh
auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia,itu yg menyebabkan ltte bunuh indira gandhi. ko pergi baca sejarah kenapa ltte tu diwujudkan. tak sama langsung mcm taliban.	Anger
benci tasik,benci jakarta	Anger
benci juga karakternya cheol. kek itu uda keliatan han sakit hati,knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu
poin 1-2 okelah,poin selanjutnya itu lho
betul org cakap,kalau tak bodoh bukan bn namanya..	Anger
aku pura-pura tidak tau saja kebohonganmu yang terhakiki,entahlah aku pura-pura bodoh saja nanti juga akan ketahuan sendiri biar waktu yang menunjukkannya	Anger
dulu waktu smp saya jengkel banget sama ibu saya,mau pergi naik bus dari jombang ke bojonegoro (jawa timur) pake dianterin ke terminal bus. padahal pinginnya naik angkot saja.	Anger
tolong jangan benci fany,fany baik-baik kok gak makan orang kok	Anger
