text,label
nikmati,bisa senang-senang bareng teman tapi tetap produktif
akhirnya syuting lagii,semangat ayank	Joy
kalau yg cuma kembang tahu doang,aku belum pernah coba tapi pasti enak.
ingett wkwk. iyaa dog lalu kita bertiga,sama dina mabuk kepayang sama legollas
happy birthday jiann adek gantengkuu gemes ucul kuat perkasa semoga rl charamu dan kamunya sukses terus,bahagia selalu
hai kak hwii!! don't skip ur breakfast yaa,semoga harinya berjalan lancar
sering-sering bikin au taeyong yaakk,seruu! semangat teruss nob	Joy
ojo lali,ngemil ceria by	Joy
semangat buat hari ini,have a great day	Joy
terlalu dini menjadi tulang punggung keluarga,ya sama.semangat kamu lantas berbahagia apapun kondisinya	Joy
peluk kakak semangat terus ya pokoknya,banyak yang sayang sama kakak di sini
wkskwkw aku juga pernahh jadinya sampe gabisa buat buka galeri ya allah cape banget ya hp penuh tuh,wkskwk semangat anya bersih bersihnya wkwkw hapus apk yang udah ga dipake aja	Joy
benar guys,nasi goreng.
selamat pagi.,salam sehat n bahagia untuk semua	Joy
nggak tau ya aku up lagi kapan,lagi nggak enak badan dari akhir januari di tambah bulan ini banyak ujian praktek	Joy
ga enak,apalagi kalo orang lain yang pake kamar mandi itu jorok. kemarin pas ngekos suka nemu piring kotor
hola kak wawa!! don't skip ur breakfast yaa,semoga harinya berjalan lancar
terima kasih sudah berjuang sejauh ini. bertahan sekuat kuatnya. jangan pernah mengeluh. terus berjuang,terus semangat. walau sendiri
semangaatt kak! buat ga dengerin kata orang susah banget emang,tapi saya berdoa semoga kakak punya support syatem yg baik. tetap semangat ya kak
okay,kak icus juga semangat ya	Joy
ya allah berkati,bahagia hmi..	Joy
mjb,yanfei bisa
semangat pagi,jangan lupa sarapan^^	Joy
semangat,vii	Joy
semoga lulus ke universitas impian ya,buat temanny semangat!	Joy
kemarin karna gabut produktif di dapur dan jadilah inii,dimasukin ke kulkas dimakan pagi ini msh ttp enak	Joy
kenapa loyo tuh? semangat juga ya,iyen. jaga kesehatannya jangan lupa.	Joy
duuh ga lama lg insya allah ngalami masa2 ini,melepas anak lanang kuliah..pasti ambyar hati mamak ya mbak
enak banget ternyata kalo tiap hari bisa tidur di jam 8 atau 9 malem,selain bikin gendutan kulit juga jadi bersih sama cerah	Joy
wow sangat berbeda hahah,semoga hari sabtunya ikutan cerah juga	Joy
kalo abis pup pas pagi pagi tuh enak banget ga sih,perutnya jadi rata & langsing	Joy
serius,aku saksi dua orang yang semangat buat terus lanjutkan hidupnya karena kamu. dan itu dua orang yang sangat kusayang dalam hidupku. aku tidak bisa berucap hal lain
semangat jalani hidup dengan bahagia yang seperlunya,bersedih dengan seperlunya
have a nice day,semangat buat hari ini	Joy
sudah sampai disini,bahagia pun menanti	Joy
bismillah,
orangtua kita selalu bahagia melihat kita,selalu tercurah kasih sayangnya buat kita tanpa batas..	Joy
sebab tetap,pencen n senang dpt loan kot huhu	Joy
selamat hari sabtu juga ibukk,semangat buat hari ini	Joy
selamat pagii princess!,semangat berkegiatan
semangat eventnya,cantik.	Joy
siipp kak,kalo gitu bisa ikutin semua s&k giveaway yg ada di caption postingannya ya. semangat terus! :) ^mc	Joy
sabtu sek semangat makaryo pren,uang kenakalan cair.	Joy
pagii~ btw cuaca enak gini mendingan tidur yok,have a nice weekend~~	Joy
morning win win metawin semoga makin banyak solo projek,solo endorsement
cuma mau infoin,enak banget	Joy
optimis bisa,semangat pak! menteri bumn erick thohir ingin harumnya aroma kopi indonesia bisa tercium hingga mancanegara
semoga bisa tercapai ya kak,semangat untuk temennya!	Joy
aamiin,semangat	Joy
happy birthday moa dan taehyun!! semoga panjang umur,sehat selalu
suka banget sama lagu bangtan yg film out itu enak banget di telinga gue ada yg sama ga? jangan lupa streaming di semua platform musik ya termasuk yt,i vote for for at the 2022
selamat pagi mbak,salam sehat penuh semangat dan selamat beraktivitas selamat berakhir pekan	Joy
pagii semangat ya kamu hari ini,have a good day	Joy
wkwkww kadang mo ngelarang nyanyi dia nya dah kepede en dlasal bunyi aja,asbun.. dan bahagia buat dia	Joy
kalo baring bawaannya lelah,kalo kerja bawannya semangat terus
hiih km harus ikhlas,semangat berproses semuanya	Joy
udah semangat lagi kan,chaeyi?	Joy
wihh semangat pkl nya onad! dah sarapan lums? kalo lums sarapan dulu yaa,have a nice day ;3 stay healthy	Joy
wkwkwkkwkwk semangat nguli,cla	Joy
disini rian,enak bgt klo buat lanjut tidur	Joy
"congratulations for ur debut ""child"" makna nya dalem banget huhu. kek relate dalam kehidupanku juga kehidupan oranglain mungkin",semangat terus buat karya karyanya yang lain nanti. bahagia selalu buat kalian. me lafyu. xx t.
nah kalo gini terus terang sama2 enak ya mas,asal minta bonus'nya ngak gede2	Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan	Joy
bismillah semangat hari ini,semoga banyak req dm amin	Joy
semangat,hati-hati dijalan meii!!	Joy
"gue dicegat sama diaa firasat gue udh nggak enak nih sumpah. dia bilang ""za","gue kangen sama lu"" gue kaget dong anjritt"
halo haloo,jihan disini mau kasih sedikit reminder ya
program makmur dukung pertanian indonesia.,go petani sejahtera!!
pelan pelan sama yvyv h*jnya dibalikn ke ranjang. ga kasar ga kenceng,"sayangnya, yvyv nakal ya. ditinggal malah main sendiri. ya udah main aja situ sama bantal hyung lagi.  h*j geleng geleng panik. asli suara y*hnya lembut bgt. ga kaya marah. ""ga mau"
wajar,aku bahkan baru bener bener bisa pake laptop di kelas 1 smk. ga harus bisa cepet kok
wkwkwk biarkan saja,yg penting dia bisa bahagia	Joy
