text,label
akibat dari telat bangun,anak ikut bangun dan dapur dan rumah tidak kepegang sampe jam segini. sedih karena berantakan
sedih emg kalo ditinggal temen ngebucin,sedih ga ada waktu main sm temen
sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,
semoga kamu tak perlu mengenal sedih ku,semoga kau mengenal ku
asli ikutan sedih banget denise out,aku suka banget suaranyaa:(	Sad
yuna jangan lewat tl dong,w jdi sedih lagi	Sad
mon,jgn cerita sedih muluu.. ____	Sad
saya suka kucing tapi sedih saya tidak boleh pegang atau pelihara kucing karena punya alergi ( kalau tidak salah suga rl punya alergi sama bulu meong,kan?)	Sad
ko aku sedih ya di godain k chita pakai twit,lom win	Sad
iyhh,jadi sepi bngett huhuu	Sad
maaf tadi awal liat ketawa. kirain lagi cosplay jadi pocong. pas tau emang emengnya meninggal,jadi sedih. maafkeun ya emeng	Sad
jibe kajja lah.. sedih bgt bye.. nangis di rooftop juga sedih,Sad
sedih membaca isi twitt anda,macam tak ada isinya..dan amehnya anda menikmati semua komen2 di lapak anda ini	Sad
5 feb,hari ini flight balik jakarta. 12.50. sedih
sejak hari itu,ga ada satu orang pun yang gw percaya lagi. teman
tl twt sepi bngett,kalian pada di fb semua yhh?	Sad
umurku sekarang sama kayak kamu nder,dan deket sama cowok terakhir tuh 2 tahun lalu kayaknya. sekarang gak pernah ada yg deketin lagi wkwk paling sedih dikata perawan tua:(	Sad
wlopun bukan bagian fandom,"tp tiap ada member boy/girlgrup keluar tuh rasanya ikut sedih:""	Sad"
mimpinya kayak nyata,diakhir-akhir dia pergi
sedih banget kok ada orang kayak gitu,rasanya mau ku ulek tau. manusia bukan sih	Sad
sabtu galau,05 feb 2022 actually ngga yang galau galau banget sih tapi kayak sedih sama ngakak juga entah yang keberapa kalinya suka sama seseorang yang udah punya pacar even though blm officially liat dan denger sendiri dari orangnya or his social media hahhaha	Sad
pacar di rebut batur? kalem ulah sedih,nu aya brsyukur eta tandanna gusti allah nyaah ka maneh
sedih juga ka bangun bangun di kolong jembatan,gak tau harus kemana	Sad
mandi sore,soalnya mo les. sedih malem minggu malah les	Sad
yaah,sedih deh	Sad
kusut,belum di hibur ama ayang .heh	Sad
"kok buna kuat sih? ""kok buna biasa aja?"" percayalah aku pernah ditahap sedih",kecewa dn terluka. tapi saat ini kejelasan yg aku terima membuat rasa itu sembuh sendirinya. berdamai ikhlas
gue kalo liat haechan di tl tuh beneran mellow dah.. soalnya beneran kayak rasanya putus baik-baik,dipaksa putus karena keadaan (nangis dah gw) tapi seneng juga liatnya
soobin :( aku sedih peliharaan kesayangan ku mati. i can't stop crying. kmrn tiba2 g mau minum trs lemes jugak,klo ke dokter hewan jauh dr t4 tinggal ku. i can't lose her :( wht should i do :(	Sad
