text,label
sumpah ini receh bgt dan not bts related. cm jujur w magang padet bgt dikasih project mayan banyak. trs kemaren ada senior gd presentasi gt dan keeren2 bgt nangis parah. trs aku pengen chat blio pengen tanya2. minta nomornya ke hrd,dapet
namnjim lag like like nya ngeri bgt,anak buah imam jumbo emg sama aja semuanya	Fear
plis nilai akm keluarnya lama banget,takut	Fear
mau ikut esd aja telat,trus takut flop	Fear
nah kan,sudah pasti ada alasan kuat
anak cewe sendirii,takut kenapa napaa kali. sy pun tak tahu	Fear
ntu ada kecoak,jijel takut	Fear
halo kak paket saya masih belum ada update dari tanggal 29 januari sampai sekarang dan belum sampai juga,bagaimana ya kak? saya khawatir jika paket saya hilang soalnya saya banyak lihat kasus paket hilang di twitter
hari ini gk dl,ngeri	Fear
klarifikasi di ig nya mz katanya ke resto sblm tau kl positif,itu lg nunggu hasil. pdhl kan bisa nunggu di mobil trs kl mau makan ya tinggal drive thru
namun,untukku itu hal tabu dan ga baik untuk di lakukan
iya,aku biasanya di tengah-tengah krn takut ada kendala gitu. eh kena hnr	Fear
menyendiri dulu dehh,
kucing kota,panik dia dikejer	Fear
berkali kali ada debt colector ke rumah,nanya nama yg aku sendiri ga kenal huhu
andin aja bawa kesini,hazel masih bayi takut flu	Fear
dua hari yang lalu gue dibeliin kopi,nah gue kan gaberani minum soalnya masih pagi takut asam lambung gue kambuh soalnya mau ada kegiatan kan. terus baru sempet minum kopinya barusan dan anjirr perasaan gue ga enak soalnya udah ngerasa agak dredeg dikit	Fear
aah i baru baca data. dah terbiasa tengok kes tinggi je,jadi takut	Fear
dikepung,dikejar2
bener kaya,mau tinggal sama salah satu orang tua pasti sering makan hati. tapi kalo tinggal sendiri takut gabisa ngurus rumah apalagi diri sendiri. so one thing we have to do is survive	Fear
mau balik kampus nemuin kajur badan malah lemes gaenak badan jadi takut mau ke kampus lagi,"moga aja ga kenapa"" aku	Fear"
jpn,sgp takut gilaa	Fear
dan si mbak nya auto malu pake minta maaf,padahal netizen indo ketawa2 doang karna mbak nya lucu dikira quote estetik	Fear
ga bolehh,soalnya udah makan mie kemarin' takut lambung aku kambuh lagi kalo keseringan wkwk	Fear
mo bilang kicep,takut..gitu aja kok malu saadd kasad..	Fear
katanya sekolahku gak bakal online,tapi at least semuanya di swab dong
ga ada waktu,apa takut ada mata2 ww	Fear
gue ga tweet begituan di sini,malu dan pasti dikecam. skrg kan serem
banyak yang bertanya,memangnya apa yang perlu saya cemaskan? semuanya terlihat sempurna dan saya memiliki segalanya. tanpa mereka tahu
punya pasangan kene diajak gaduh dulu baru rajin sangat,kaget lihat semua udah dibuat kemas aja sama dia hihi	Fear
deg deg an,gabisa mikir
nggih mas,aku bingung aja
hujan tak kunjung reda,setiap hari hujan mulai menemani nih
makji aku pengen mam mie ayam,udh bm 2 minggu lalu boleh gk makji? takut ileran ini cacingnya	Fear
malu tp gw gak diapain2 mer wkwk udah dibalikin gitu aja,dia tes detak jantung doang kali ya. gw beneran deg2an soalnya tapi ya tetep gak ada yg berubah
siapa yg salah disni bang,ngeri aq liatnya bah	Fear
berharap ada yang cancel nendo bokuto dan akaashi yg di kyou biar bs co lgsg di web kyou aja mau ambil opslot tp takut krn harga nya ga murah dan rilisnya msh lama,"nunggu sampe ina lbh lama lg tp takut jg sih klo ga dapet lg krn pasti war lg wkwk :"")	Fear"
pas sange,pingin ngelakuin itu sama seseorang tapi takut..	Fear
kek apa ya,"gue kalo beli paketan kalo mau keluar jauh/keluar kota aja sksk gue jarang keluar jadi takut sia2:"")	Fear"
mau ikut komen,takut tambah dewasa	Fear
lawan bocil aja takut,apalagi melawan restu orang tua	Fear
mon maap tapi sy ngerekam nya ga niat malu bah,jelek bgt wajah sy :'	Fear
sebelum situng diralat. sedih,tegang..	Fear
hufftt bismillah,bismillah
ngezoom banget gambarnya,kaget	Fear
kyu,kata gue ajakin yg lain juga deh
