Lampiran 2. Wawancara dengan Admin ULBK konseling UPNVJ,
Tanggal : 25 Agustus 2025,
"Narasumber	: Djakiyah Kalsum Azmi, S.Psi",
"Tujuan wawancara ini dilakukan untuk memperoleh informasi mengenai sistem layanan konseling yang berjalan di Unit Layanan Bimbingan dan Konseling (ULBK) UPN Veteran Jakarta, khususnya terkait alur pelayanan, peran admin dalam mendukung proses konseling, serta kendala yang dihadapi dalam pengelolaan data dan pelayanan konseling mahasiswa.",
No.,Pertanyaan Dan Jawaban
1.,"Sejak kapan layanan bimbingan konseling mahasiswa tersedia di UPNVJ, dan bagaimana perkembangan layanannya hingga saat ini? Saya mulai menjadi admin sejak tahun 2023, perkembangan layanan cukup baik"
2. ,"Layanan konseling mencakup aspek akademik, keluarga, pribadi, dan hubungan sosial. Jenis masalah apa yang paling sering dialami mahasiswa belakangan ini?  Masalah yang paling sering dikeluhkan oleh mahasiswa adalah aspek akademik dan pribadi"
3.,"Bagaimana alur pendaftaran dan proses konseling saat ini, mulai dari mahasiswa mendaftar hingga sesi tatap muka atau sesi daring? pendaftaran dimulai dari mahasiswa mengisi form di web konseling namun, saat ini form di web sedang ada trouble dimana admin tidak dapat melihat form yang sudah masuk jadi untuk pendaftaran manual via chat whatsapp konseling, kemudian h-1 atau hari h pagi akan dikonfirmasi kehadirannya kembali dan kemudian sesi assessment jika pertama kali konseling, setelah assessment baru bisa sesi tatap muka/daring dengan psikolog"
4. ,"Apakah ada proses identifikasi awal kondisi emosional mahasiswa sebelum sesi konseling dimulai?   Proses identifikasi kondisi mental dan emosional biasa hanya melalui assessment pertemuan pertama, pada pertemuan selanjutnya langsung sesi tatap muka/daring tanpa identifikasi lagi"
5. ,Apakah Anda melihat kebutuhan untuk mempercepat proses identifikasi kondisi emosional mahasiswa sebelum sesi dimulai? Saya melihat ada kebutuhan untuk mempercepat proses tersebut terutama jika masalahnya yang dihadapi mahasiswa urgent dan ada kemungkinan mengancam jiwa mahasiswa tersebut
6.,"Bagaimana pendapat Anda jika ada chatbot yang dapat membantu mendeteksi emosi mahasiswa sebelum sesi konseling, yang sifatnya opsional? Menurut saya chatbot dapat menjadi sebuah hal yang membantu, terlebih jika chatbot tersebut dapat mendeteksi secara cepat, karena biasanya assessment membutuhkan waktu 1 jam pengerjaan"
