text,label
kok stabilitas negara,unknown
aib? bodoh benar! sebelum kata aib itu muncul,marah
"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib",unknown
bangsat tribute no.1,marah
pagi-pagi dikerjain orang haha dikira gua bego,marah
angka covid lagi naek. kalo masih dilanjut event offlinenya,marah
bukan lebih ke sangar sih,marah
mas ngelonte dulu mas,unknown
izinin suami poligami buat menghindari zina? lol banget,sedih
benci banget sama diri sendiri,marah
ni geng lgbt patutle. libtard,unknown
satu kata jangan mengundi,marah
diam,marah
sangat tolol bbm langka,marah
"lah kakak gue yang umur 33 harus manggil gue yang umur 23 apaan anjrit kalo bukan adek? ""oh saya anak tunggal",marah
ternyata ada yg lebih bego dari aku,marah
apa bedanya coba awal chat huruf kapital apa engga ? sahabat,marah
bangsat,marah
saya bisa masak,unknown
eh,marah
islamofobis/buzzerp,unknown
ha tuh lu doang,marah
nnton sis,unknown
kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl,marah
dpt mimpi kok mendukung keparnoan,unknown
woii bodok.. klo semua komplain,unknown
gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™,unknown
auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia,marah
benci tasik,marah
benci juga karakternya cheol. kek itu uda keliatan han sakit hati,unknown
poin 1-2 okelah,unknown
betul org cakap,marah
aku pura-pura tidak tau saja kebohonganmu yang terhakiki,marah
dulu waktu smp saya jengkel banget sama ibu saya,marah
tolong jangan benci fany,marah
kata mama harus baik samaa orang lain tpi kalo orang itu ngelunjak yaudah diemin aja tapi gue orangnya ga tega an.. jdi ya gtu,marah
bahkan ada dari tweet yang maksudnya supportive. parahnya tuh nggak dibarengi dengan nanya baik-baik atau diskusi,marah
iya ituu benci bgt,marah
mak yng darah tinggi andin makk,marah
tolol,unknown
diorang ni semua dah lama nak borak dengan kau. tak fun kata diorang,marah
yhh marah  mulu lo,marah
mun sepatah ku becakap,marah
ahahaaa khas buzzerp jokowi nuduh org mau,marah
lah bego,marah
padahal gw stay di lokasi jg dianggurin lol buat apa lu nge-hire org luar klo kyk gini ceritanya tolol jd ga pengen gw duitnya mereka gajelas bgt,unknown
bangsat,marah
pebenda lah org penuh dgn emosi last episode,marah
gatau,marah
jujur shock di bagian bangsatnya sih,marah
sebb tu kalau org2 macam ni nak jalan aku buat x tahu je,marah
aneh ga sih? padahal dia lebih sering keluar berdua diem-diem ga ngajak aku tapi aku gada marah samsek krnapa giliran aku minta tolong buat ditemenin beli sesuatu dianya marah anjim aowkaowkaow padahal kan skornya juga 2:0,marah
hiyahiyahiya. terpesona,marah
dipakai untuk acara pernikahan tuh,unknown
makanya anjir gue emosi,marah
bener,marah
ga jadi deh,marah
gue punya facebook,sedih
dari awal gasuka karakternya nu,marah
rasa macam terlalu bodoh untuk law ni,marah
anjir bsbsnya mimpi iparku ternyata jelmaan siluman babi,unknown
lo yg menganggap poligami adalah solusi dari perzinaan. oiya dan ngga semua laki2 mau poligami juga. poligami ngga gampang. banyak orang yg benci poligami karna manusia2 kayak lo. inget ya,marah
bokap: ngelarang anak & istri nunjukin rasa jengkel also bokap: kalo jengkel nada ngomongnya ketus,unknown
si bodoh,marah
diselingkuhin mereka belum sampe pacaran sih,unknown
"anjr kesal bgt sm yg suka curi""",sedih
mestinya yg benci pemerintah di obatin sampe sembuh,marah
1. jangan main klarinet. 2. jangan pernah melambaikan lampu senter ke depan dan ke belakang terlalu cepat. itu dianggap undangan. 3. jangan pernah berhenti menatap sekitar. 4. jangan makan keju,marah
"yang no 3 ""izinkan suami berpoligami",unknown
klo naksir ada si nder cuma setiap mau dideketin aku selalu ngasi lampu merah,unknown
taik gua benci twitter,unknown
salah sendiri baperan,marah
mereka ini ga pernah liat orang negro apa ya,marah
